,lumpSum_avg,npsf_avg,final_address,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2484878.0,6941.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2484878.0,6941.0,358.0,,0.08639849741743633,0.08639849741743633
2020-11-15,2287262.0,6389.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2287262.0,6389.0,358.0,,-0.19095859187033049,-0.19095859187033049
2020-10-15,2827126.0,7897.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2827126.0,7897.0,358.0,,0.11934798015591785,0.11934798015591785
2020-9-15,2525690.0,7055.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2525690.0,7055.0,358.0,,0.034912718204488824,0.034912718204488824
2020-8-15,2440486.0,6817.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2440486.0,6817.0,358.0,,-0.13247645711376943,-0.13247645711376943
2020-7-15,2813164.0,7858.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2813164.0,7858.0,358.0,,-0.07596425211665103,-0.07596425211665103
2020-6-15,3044432.0,8504.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",3044432.0,8504.0,358.0,,0.16032200845954425,0.16032200845954425
2020-5-15,2623782.0,7329.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2623782.0,7329.0,358.0,,-0.10915278959523522,-0.10915278959523522
2020-4-15,2945266.0,8227.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2945266.0,8227.0,358.0,,0.11401489505754903,0.11401489505754903
2020-3-15,2643830.0,7385.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2643830.0,7385.0,358.0,,-0.12933270455081347,-0.12933270455081347
2020-2-15,3036556.0,8482.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",3036556.0,8482.0,358.0,,0.050402476780185834,0.050402476780185834
2020-1-15,2890850.0,8075.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2890850.0,8075.0,358.0,,-0.005541871921182273,-0.005541871921182273
2019-12-15,2906960.0,8120.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2906960.0,8120.0,358.0,,0.2593052109181142,0.2593052109181142
2019-11-15,2308384.0,6448.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2308384.0,6448.0,358.0,,-0.009219422249538978,-0.009219422249538978
2019-10-15,2329864.0,6508.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2329864.0,6508.0,358.0,,0.06566235467496306,0.06566235467496306
2019-9-15,2186306.0,6107.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2186306.0,6107.0,358.0,,0.9693647210577234,0.9693647210577234
2019-8-15,1110158.0,3101.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",1110158.0,3101.0,358.0,,-0.555667001003009,-0.555667001003009
2019-7-15,2498482.0,6979.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2498482.0,6979.0,358.0,,-0.1415744157441574,-0.1415744157441574
2019-6-15,2910540.0,8130.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2910540.0,8130.0,358.0,,1.6217349242179941,1.6217349242179941
2019-5-15,1110158.0,3101.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",1110158.0,3101.0,358.0,,-0.6236650485436893,-0.6236650485436893
2019-4-15,2949920.0,8240.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2949920.0,8240.0,358.0,,-0.07196756391485526,-0.07196756391485526
2019-3-15,3178682.0,8879.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",3178682.0,8879.0,358.0,,,
2019-2-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2019-1-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-12-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-11-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-10-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-9-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-8-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-7-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-6-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-5-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-4-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-3-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-2-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2018-1-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-12-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-11-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-10-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-9-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-8-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-7-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-6-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
