,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_change,npsf_change
2019-12-15,10017675.923076924,18232.23076923077,13,130229787.0,237019.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",15278825.0,18475.0,827.0,9563760.0,16155.0,592.0,11306785.0,19003.0,595.0,6923237.0,15989.0,433.0,7145799.0,16503.0,433.0,11522574.0,30483.0,378.0,8340006.0,16747.0,498.0,9232470.0,15782.0,585.0,7517154.0,16413.0,458.0,10382000.0,17900.0,580.0,10725558.0,18303.0,586.0,10886115.0,19065.0,571.0,11405504.0,16201.0,704.0,0.1712560137254917,0.17146500467065695
2019-11-15,8552934.461538462,15563.615384615385,13,111188148.0,202327.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",13068254.0,15802.0,827.0,8179072.0,13816.0,592.0,9671725.0,16255.0,595.0,5921708.0,13676.0,433.0,6113960.0,14120.0,433.0,9855972.0,26074.0,378.0,6930666.0,13917.0,498.0,7895745.000000001,13497.0,585.0,6430320.0,14040.0,458.0,8883860.0,15317.0,580.0,9172658.0,15653.0,586.0,9309584.0,16304.0,571.0,9754624.0,13856.0,704.0,0.028280667867349285,0.028141816869845293
2019-10-15,8317704.230769231,15137.615384615385,13,108130155.0,196789.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",12736627.0,15401.0,827.0,7967728.0,13459.0,592.0,9220120.0,15496.0,595.0,5769292.0,13324.0,433.0,5958513.0,13761.0,433.0,9602712.0,25404.0,378.0,6751386.0,13557.0,498.0,7691580.000000001,13148.0,585.0,6265898.0,13681.0,458.0,8657660.0,14927.0,580.0,8934742.0,15247.0,586.0,9069193.0,15883.0,571.0,9504704.0,13501.0,704.0,0.06726370245003044,0.08161481807189186
2019-9-15,7793485.538461538,13995.384615384615,13,101315312.0,181940.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",12662196.999999998,15311.0,827.0,7632656.0,12893.0,592.0,8829205.0,14839.0,595.0,5527245.0,12765.0,433.0,5709971.0,13187.0,433.0,6595344.0,17448.0,378.0,6317130.0,12685.0,498.0,7368075.0,12595.0,585.0,6033234.0,13173.0,458.0,8292260.000000001,14297.0,580.0,8554428.0,14598.0,586.0,8686623.0,15213.0,571.0,9106944.0,12936.0,704.0,1.113241751254305,1.1132224493588554
2019-8-15,3687929.0,6622.7692307692305,13,47943077.0,86096.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",5995750.0,7250.0,827.0,3612384.0,6102.0,592.0,4297090.0,7222.0,595.0,2616619.0,6043.0,433.0,2703652.0,6244.0,433.0,3122280.0,8260.0,378.0,2989494.0,6003.0,498.0,3487185.0,5961.0,585.0,2856546.0,6237.0,458.0,3807700.0,6565.0,580.0,4047502.0,6907.0,586.0,4111771.0,7201.0,571.0,4295104.0,6101.0,704.0,-0.5247740529408764,-0.5250792950326834
2019-7-15,7760369.615384615,13945.0,13,100884805.0,181285.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",12602653.0,15239.0,827.0,7590032.0,12821.0,592.0,9027935.0,15173.0,595.0,5541534.0,12798.0,433.0,5682692.0,13124.0,433.0,6671700.0,17650.0,378.0,6279780.0,12610.0,498.0,7327125.0,12525.0,585.0,6003922.0,13109.0,458.0,7994720.0,13784.0,580.0,8499344.0,14504.0,586.0,8638088.0,15128.0,571.0,9025280.0,12820.0,704.0,-0.23789616086417864,-0.23809023472797197
2019-6-15,10182824.461538462,18302.69230769231,13,132376718.0,237935.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",16609468.000000002,20084.0,827.0,10000656.0,16893.0,592.0,11350220.0,19076.0,595.0,7294751.0,16847.0,433.0,7490900.0,17300.0,433.0,8791524.0,23258.0,378.0,8273273.999999999,16613.0,498.0,9654255.0,16503.0,585.0,7913782.0,17279.0,458.0,10528160.0,18152.0,580.0,11193772.0,19102.0,586.0,11381172.0,19932.0,571.0,11894784.0,16896.0,704.0,1.7634503236195793,1.7606511347287324
2019-5-15,3684822.6923076925,6629.846153846154,13,47902695.0,86188.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",5998231.0,7253.0,827.0,3611200.0,6100.0,592.0,4098955.0,6889.0,595.0,2634372.0,6084.0,433.0,2705817.0,6249.0,433.0,3277260.0,8670.0,378.0,2987004.0,5998.0,498.0,3486015.0,5959.0,585.0,2858378.0,6241.0,458.0,3799580.0,6551.0,580.0,4039884.0,6894.0,586.0,4109487.0,7197.0,571.0,4296512.0,6103.0,704.0,-0.6249133228546224,-0.6250070701665078
2019-4-15,9823923.153846154,17679.923076923078,13,127711001.0,229839.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",16088458.000000002,19454.0,827.0,9683936.0,16358.0,592.0,10993220.0,18476.0,595.0,7064828.0,16316.0,433.0,7258812.0,16764.0,433.0,8789634.0,23253.0,378.0,8008337.999999999,16081.0,498.0,9348300.0,15980.0,585.0,7667836.0,16742.0,458.0,9435440.0,16268.0,580.0,10828694.0,18479.0,586.0,11019729.0,19299.0,571.0,11523776.0,16369.0,704.0,-0.11120107598180207,-0.11119747557947968
2019-3-15,11053032.23076923,19891.846153846152,13,143689419.0,258594.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",18104684.0,21892.0,827.0,10895168.0,18404.0,592.0,12369455.0,20789.0,595.0,7947282.000000001,18354.0,433.0,8168112.0,18864.0,433.0,9890370.0,26165.0,378.0,9008820.0,18090.0,498.0,10517130.0,17978.0,585.0,8629636.0,18842.0,458.0,10615160.0,18302.0,580.0,12177666.0,20781.0,586.0,12397552.0,21712.0,571.0,12968384.0,18421.0,704.0,0.3148280037151705,0.3148357179901766
2019-2-15,8406447.23076923,15128.76923076923,13,109283814.0,196674.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",13772031.0,16653.0,827.0,8286223.999999999,13997.0,592.0,9408140.0,15812.0,595.0,6042515.0,13955.0,433.0,6212683.999999999,14348.0,433.0,7522956.0,19902.0,378.0,6850986.0,13757.0,498.0,7998705.000000001,13673.0,585.0,6565430.0,14335.0,458.0,8072440.0,13918.0,580.0,9257628.0,15798.0,586.0,9428923.0,16513.0,571.0,9865152.0,14013.0,704.0,-0.12723197560934907,-0.12736711331972672
2019-1-15,9631937.692307692,17336.923076923078,13,125215190.0,225380.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",15832088.0,19144.0,827.0,9524096.0,16088.0,592.0,10815315.0,18177.0,595.0,6942722.0,16034.0,433.0,7140603.0,16491.0,433.0,8648262.0,22879.0,378.0,7873380.0,15810.0,498.0,9193860.0,15716.0,585.0,7548756.0,16482.0,458.0,9278260.0,15997.0,580.0,10237420.0,17470.0,586.0,10837580.0,18980.0,571.0,11342848.0,16112.0,704.0,-0.09593344890407574,-0.09565845437765819
2018-12-15,10654014.0,19170.76923076923,13,138502182.0,249220.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",17533227.0,21201.0,827.0,10545296.0,17813.0,592.0,11976160.0,20128.0,595.0,7541128.0,17416.0,433.0,7906580.0,18260.0,433.0,9576630.0,25335.0,378.0,8715996.0,17502.0,498.0,10179585.0,17401.0,585.0,8360790.000000001,18255.0,458.0,10272380.0,17711.0,580.0,11333240.0,19340.0,586.0,11998994.0,21014.0,571.0,12562176.0,17844.0,704.0,1.9276873669786037,1.9303107620312994
2018-11-15,3639054.5384615385,6542.2307692307695,13,47307709.0,85049.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",6000712.0,7256.0,827.0,3608240.0,6095.0,592.0,4098360.0,6888.0,595.0,2581979.0,5963.0,433.0,2705384.0,6248.0,433.0,3187296.0,8432.0,378.0,2982024.0,5988.0,498.0,3483675.0,5955.0,585.0,2861584.0,6248.0,458.0,3514800.0,6060.0,580.0,3877562.0,6617.0,586.0,4106061.0,7191.0,571.0,4300032.0,6108.0,704.0,-0.666107934414861,-0.6658389485884918
2018-10-15,10898894.923076924,19578.076923076922,13,141685634.0,254515.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",17957478.0,21714.0,827.0,10796896.0,18238.0,592.0,12264140.0,20612.0,595.0,7552819.0,17443.0,433.0,8094935.0,18695.0,433.0,9536562.0,25229.0,378.0,8921670.0,17915.0,498.0,10422360.0,17816.0,585.0,8565058.0,18701.0,458.0,10515400.0,18130.0,580.0,11599870.0,19795.0,586.0,12284494.0,21514.0,571.0,13173952.0,18713.0,704.0,-0.1289613209162387,-0.13397575275018803
2018-9-15,12512526.923076924,22606.846153846152,13,162662850.0,293889.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",18100549.0,21887.0,827.0,12614336.0,21308.0,592.0,14329980.0,24084.0,595.0,8826272.0,20384.0,433.0,9457586.0,21842.0,433.0,11142684.0,29478.0,378.0,10422144.0,20928.0,498.0,12176775.0,20815.0,585.0,10009590.0,21855.0,458.0,12284980.000000002,21181.0,580.0,13550664.0,23124.0,586.0,14351513.999999998,25134.0,571.0,15395776.000000002,21869.0,704.0,,
2018-8-15,,,13,,,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",,,827.0,,,592.0,,,595.0,,,433.0,,,433.0,,,378.0,,,498.0,,,585.0,,,458.0,,,580.0,,,586.0,,,571.0,,,704.0,,
2018-7-15,8747289.65226352,12013.692307692309,13,113714765.47942576,156178.0,7240,"PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",13995780.011225743,12986.0,827.0,8806712.56481587,11415.0,592.0,9898148.936391687,12765.0,595.0,6767557.111464186,11993.0,433.0,6179000.281041677,10950.0,433.0,6629125.663278946,13457.0,378.0,6948207.525366918,10706.0,498.0,8479201.505596748,11122.0,585.0,6961325.691464963,11663.0,458.0,8514062.517232224,11264.0,580.0,9764466.4050812,12786.0,586.0,9576286.012665207,12869.0,571.0,11194891.253800387,12202.0,704.0,-0.02021016937868425,-0.16843881946404127
