,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,33743996.329045266,26296.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",33743996.329045266,26296.0,1714.0,,0.20292812316810638,0.1988146797355823
2022-11-15,28051548.28384507,21935.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",28051548.28384507,21935.0,1714.0,,-0.12238200447299519,-0.07677090786649265
2022-10-15,31963278.35894052,23759.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",31963278.35894052,23759.0,1714.0,,-0.10675252268610858,0.19182342613493852
2022-9-15,35783228.24382125,19935.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",35783228.24382125,19935.0,1714.0,,,
2022-8-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-7-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-6-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-5-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-4-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-3-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-2-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2022-1-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-12-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-11-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-10-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-9-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-8-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-7-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-6-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-5-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-4-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-3-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-2-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2021-1-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-12-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-11-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-10-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-9-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
