,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8711875.0,13939.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",8711875.0,13939.0,625.0,,0.20298610511780435,0.20298610511780435
2022-11-15,7241875.0,11587.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",7241875.0,11587.0,625.0,,-0.12239642505491177,-0.12239642505491177
2022-10-15,8251875.0,13203.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",8251875.0,13203.0,625.0,,-0.10675867667952099,-0.10675867667952099
2022-9-15,9238125.0,14781.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9238125.0,14781.0,625.0,,-0.1337904360056259,-0.1337904360056259
2022-8-15,10665000.0,17064.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",10665000.0,17064.0,625.0,,0.1056826281345169,0.1056826281345169
2022-7-15,9645625.0,15433.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9645625.0,15433.0,625.0,,-0.0750374587953252,-0.0750374587953252
2022-6-15,10428125.0,16685.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",10428125.0,16685.0,625.0,,-0.08520203958550354,-0.08520203958550354
2022-5-15,11399375.0,18239.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",11399375.0,18239.0,625.0,,0.1907684272377097,0.1907684272377097
2022-4-15,9573125.0,15317.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9573125.0,15317.0,625.0,,-0.027306788594652964,-0.027306788594652964
2022-3-15,9841875.0,15747.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9841875.0,15747.0,625.0,,0.08174761283231424,0.08174761283231424
2022-2-15,9098125.0,14557.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9098125.0,14557.0,625.0,,-0.07867088607594941,-0.07867088607594941
2022-1-15,9875000.0,15800.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",9875000.0,15800.0,625.0,,-0.04979552561943712,-0.04979552561943712
2021-12-15,10392500.0,16628.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",10392500.0,16628.0,625.0,,-0.10803561849586951,-0.10803561849586951
2021-11-15,11651250.0,18642.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",11651250.0,18642.0,625.0,,-0.08894536213468873,-0.08894536213468873
2021-10-15,12788750.0,20462.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",12788750.0,20462.0,625.0,,0.17821155064202232,0.17821155064202232
2021-9-15,10854375.0,17367.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",10854375.0,17367.0,625.0,,-0.018868990452516776,-0.018868990452516776
2021-8-15,11063125.0,17701.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",11063125.0,17701.0,625.0,,0.037634093440412686,0.037634093440412686
2021-7-15,10661875.0,17059.0,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",10661875.0,17059.0,625.0,,,
2021-6-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2021-5-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2021-4-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2021-3-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2021-2-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2021-1-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-12-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-11-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-10-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-9-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-8-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-7-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-6-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-5-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-4-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-3-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-2-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2020-1-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-12-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-11-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-10-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-9-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-8-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-7-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-6-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-5-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-4-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-3-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-2-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2019-1-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-12-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-11-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-10-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-9-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-8-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-7-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-6-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-5-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-4-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-3-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-2-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,,,
2018-1-15,,,"TAK WAI GARDEN,PO TUNG RD|德蕙苑,普通道",,,625.0,625.0,,
