,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,nfa_avg,lumpSum_change,npsf_change
2020-12-15,31756824.0,17468.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",27600876.0,15182.0,1818.0,35912772.0,19754.0,1818.0,,0.0,0.0
2020-11-15,31756824.0,17468.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",27600876.0,15182.0,1818.0,35912772.0,19754.0,1818.0,,-0.7249350444846863,-0.7249350444846863
2020-10-15,115452090.0,63505.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",100346328.0,55196.0,1818.0,130557852.0,71814.0,1818.0,,0.2124480931697772,0.2124480931697772
2020-9-15,95222295.0,52377.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",82762632.0,45524.0,1818.0,107681958.0,59231.0,1818.0,,0.21793977444483192,0.21793977444483192
2020-8-15,78183090.0,43005.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",67953204.0,37378.0,1818.0,88412976.00000001,48632.0,1818.0,,-0.2166523980400371,-0.2166523980400371
2020-7-15,99806382.0,54899.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",86747688.0,47716.0,1818.0,112865075.99999999,62082.0,1818.0,,0.1733438772347906,0.1733438772347906
2020-6-15,85061493.0,46788.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",73932606.0,40667.0,1818.0,96190380.0,52910.0,1818.0,,-0.08443648673769899,-0.08443648673769899
2020-5-15,92906163.0,51103.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",80750106.0,44417.0,1818.0,105062220.0,57790.0,1818.0,,-0.11813734372168871,-0.11813734372168871
2020-4-15,105352191.0,57949.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",91567206.0,50367.0,1818.0,119137176.0,65532.0,1818.0,,0.13391904980872904,0.13391904980872904
2020-3-15,92909799.0,51105.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",80753742.0,44419.0,1818.0,105065856.0,57792.0,1818.0,,0.17571749007879456,0.17571749007879456
2020-2-15,79023915.0,43467.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",68684040.0,37780.0,1818.0,89363790.0,49155.0,1818.0,,-0.1734645369842175,-0.1734645369842175
2020-1-15,95608620.0,52590.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",83098962.0,45709.0,1818.0,108118278.0,59471.0,1818.0,,2.0106480421341884,2.0106480421341884
2019-12-15,31756824.0,17468.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",27600876.0,15182.0,1818.0,35912772.0,19754.0,1818.0,,-0.6992191199387006,-0.6992191199387006
2019-11-15,105581259.0,58075.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",91767186.0,50477.0,1818.0,119395332.0,65674.0,1818.0,,0.12708871077299277,0.12708871077299277
2019-10-15,93676086.0,51527.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",81419130.0,44785.0,1818.0,105933042.0,58269.0,1818.0,,-0.18004169252558044,-0.18004169252558044
2019-9-15,114244938.0,62841.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",99297341.99999999,54619.0,1818.0,129192534.0,71063.0,1818.0,,,
2019-8-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2019-7-15,96911217.0,53306.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",84231576.0,46332.0,1818.0,109590858.0,60281.0,1818.0,,0.06351375615984667,0.06351375615984667
2019-6-15,91123614.0,50123.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",79201170.0,43565.0,1818.0,103046058.0,56681.0,1818.0,,-0.0797462660534457,-0.0797462660534457
2019-5-15,99020097.0,54466.5,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",86064120.0,47340.0,1818.0,111976074.0,61593.0,1818.0,,0.10024442469295414,0.10024442469295414
2019-4-15,89998272.0,49504.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",78223086.0,43027.0,1818.0,101773458.0,55981.0,1818.0,,,
2019-3-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2019-2-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2019-1-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-12-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-11-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-10-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-9-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-8-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-7-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-6-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-5-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-4-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-3-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-2-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2018-1-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
