,A,B,C,D,E,F,G,H,I,I2,J,J1,J2,K,L,M,N,O,P,PORTION 1 OF I,Q
3.0,540,510,790,470,525,515,500,325,500,174,525,166,188,360,525,500,325,489,497,190,431
6.0,540,510,790,470,525,515,500,325,500,174,525,166,188,360,525,500,325,489,497,190,431
8.0,540,510,790,470,525,540,500,325,500,174,525,166,188,360,525,500,325,489,497,190,431
