,1,10,2,3,5,6,7,8,9,G10,G2,G3,G5,G6,G8,G9
4.0,325,285,325,365,300,300,285,305,311,285,325,365,300,300,305,311
7.0,325,285,325,365,300,300,285,305,311,285,325,365,300,300,305,311
10.0,325,285,325,365,300,300,285,305,311,285,325,365,300,300,305,311
