,1,10,2,3,4,5,6,7,8,9,H10,H2,H5,H6,H8,H9
4.0,3829100,3716685,3829100,3906600,3906600,3665920,3665920,3716685,3488895,3488895,3717255,3120215,3610240,3669440,3987265,3905525
7.0,3916420,3801330,3916420,3998060,3998060,3784640,3784640,3801330,3602965,3602965,3803040,3190130,3704640,3784320,4076935,3664880
10.0,3600475,3891390,3600475,4120800,4120800,3671040,3867520,3891390,3681960,3681960,3893100,3261815,3778880,3867840,4173315,3744790
