,A,B,C,D,E,F,G,H,I,J,K,L,M,N,P
3.0,460,450,450,460,365,326,326,360,345,518,518,345,363,378,363
6.0,460,450,450,460,365,326,326,360,345,518,518,345,363,378,363
8.0,460,450,450,460,365,326,326,360,345,518,518,345,363,378,363
