,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8
11.0,7509630,5289310,5866800,5568360,5546718,5035415,4812415,7245220,5526118,5616900,5175282,5605803,4806054,4619975
20.0,7680242,5560204,5921400,5795328,5869110,5220116,4926181,7595322,5838274,5714700,5492508,5661555,4906539,4672896
28.0,8069330,5904951,6242100,6027588,6216651,5256482,5024099,7860118,6147440,6108900,5780922,6186048,5180560,4627333
