,A,B,C,D,E,F,G,H,I,I2,J,J1,J2,K,L,M,N,O,P,PORTION 1 OF I,Q
3.0,8656,8341,8667,7722,8326,8336,8173,8320,8351,11606,8326,11674,11488,9146,8196,8351,9074,8361,8353,11471,8446
6.0,8850,8547,8846,8942,8532,8542,8379,8527,8557,11896,8532,11966,11775,9373,8399,8557,9301,8898,8561,11758,8650
8.0,8985,8685,8982,9153,8670,8985,8513,8664,8695,12090,8670,12160,11966,9524,8533,8695,9462,8707,8699,11949,8786
