,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8
11.0,19455,17690,19556,18940,18306,15785,17005,18770,18482,18723,17603,18501,15066,16325
20.0,19897,18596,19738,19712,19370,16364,17407,19677,19526,19049,18682,18685,15381,16512
28.0,20905,19749,20807,20502,20517,16478,17753,20363,20560,20363,19663,20416,16240,16351
