,1,10,2,3,4,5,5 & 7,6,7,8,9,C1,C10,C3,C5,C7,C8
4.0,473,294,473,300,300,312,606,312,294,300,300,473,294,300,312,294,300
7.0,473,294,473,300,300,312,606,312,294,300,300,473,294,300,312,294,300
10.0,460,294,460,300,300,312,606,312,294,300,300,473,294,300,312,294,300
