,10,26,27,28,29,30,31,32,33,35,36,37,38,9,whole floor
21.0,38695590,31693857,31596939,23269512,23108315,23425830,23270210,23412025,23577685,28962604,29661660,32486596,32773323,39882620,38000840
54.0,48701975,39286881,39776484,28212894,24621845,25204165,28607725,29188790,23770955,36186392,37048401,42135108,43091544,47929810,47929810
77.0,79369416,47494833,69420652,30160440,29631805,29847665,29631805,28477205,29574075,94922784,42729487,50391738,51127525,57439945,57439945
