,A1,A2,A3,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B8
11.0,386,299,300,294,303,319,283,386,299,300,294,303,319,283
20.0,386,299,300,294,303,319,283,386,299,300,294,303,319,283
28.0,386,299,300,294,303,319,283,386,299,300,294,303,319,283
