,A,C,D,E,F,G,H
3.0,14513483,13776606,14217840,14274624,14358546,13782096,14513483
5.0,14750809,14102712,14449344,14508312,14593518,14093928,14750809
7.0,14989244,14335488,14681940,14742000,14829588,14325606,14989244
