,1,2,3,4,5,6,7,8,A1,A2,A5,A6,A7
4.0,2868075,4463480,3488020,2868075,2882880,3488020,3488020,2868075,2868075,3511580,2868075,3463700,3533240
7.0,2941470,3576940,3478740,2941470,2955645,3725245,3576940,2941470,2941470,3601640,2941470,3552620,3618740
10.0,3014865,3666240,3565320,3014865,3028410,3818465,3666240,3014865,3014865,3691320,3014865,3641160,3704620
