,10,2,3,4,5,6,7,8,9,D10,D3,D5
4.0,4280530,5155220,3252228,3440100,3440100,3376296,3566160,3566160,3440100,4299400,3331020,3348000
7.0,4373770,5262860,3328374,3514200,3719328,3449208,3644472,3644472,3514200,4393380,3330726,3431700
10.0,4474780,5382460,3408048,3594300,3805188,3527706,3728712,3812328,4474780,4494390,3482136,3512700
