,A,B,C,D,E,F,G,H,J,K,L
8.0,7191180,5292600,6703437,5376240,5374112,5372549,5386880,7587580,5819100,5811688,5001474
17.0,7478082,5458800,6944340,5591168,5597856,5533584,5566848,7867090,6013200,5894738,5142687
24.0,8324298,5663700,7077798,5710336,5758672,5690104,5724016,8050350,6161100,6157478,6274245
