,1,10,2,3,4,5,6,7,8,9,H10,H2,H5,H6,H8,H9
4.0,295,285,295,340,340,320,320,285,305,305,285,295,320,320,305,305
7.0,295,285,295,340,340,320,320,285,305,305,285,295,320,320,305,305
10.0,295,285,295,340,340,320,320,285,305,305,285,295,320,320,305,305
