,1,10,2,3,4,5,6,7,8,9,A1,A2,A3,A8
4.0,450,370,450,286,379,379,286,390,286,370,450,450,286,286
7.0,450,370,450,286,379,379,286,390,286,370,450,450,286,286
10.0,450,370,450,286,379,379,286,390,286,370,450,450,286,286
