,1,10,2,3,5,6,7,8,9,G10,G2,G3,G5,G6,G8,G9
4.0,12433,12745,12433,12512,12393,11664,12382,12248,12399,12384,12495,12322,9554,12574,12384,12399
7.0,12732,12739,12732,12812,12688,12105,12761,12550,12697,12680,12775,12619,12678,12889,12683,12697
10.0,13025,13028,13025,13106,12978,12400,13053,12617,12991,12969,13069,12922,12684,12874,12975,12991
