,A,B,C,D,E,F,G,H,I,J,K,L,M,N,P
3.0,4589880,4499550,4499550,4589880,3916450,3545902,3484614,3491280,3692880,5049464,4895618,3802590,3894627,4030992,3920763
6.0,4969380,4868550,4868550,4969380,4014270,3659676,3571330,4061520,3784995,5192950,5020456,3853305,3991548,4131918,4018773
8.0,5047580,4945050,4945050,5047580,4077050,3692276,3627076,4121640,3844335,5276348,5080544,3911610,4053984,4196556,4037286
