,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,M-M,MM,NN,OO,PP,QQ,QQ & RR,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
3.0,410,311,311,311,336,397,332,332,332,332,332,332,225,332,325,352,345,295,644,349,323,330,319,330,330,330,330,330
8.0,410,311,311,311,336,397,332,332,332,332,332,332,225,332,325,352,295,345,644,352,323,330,319,331,330,330,315,330
12.0,410,311,332,311,332,397,332,315,302,332,315,312,225,332,287,337,345,345,644,262,309,319,319,271,330,331,315,330
