,A,B,C,D,E,F,G,H,I,J
5.0,10422,10382,10369,10215,10422,10410,10416,10436,10351,10385
10.0,10867,10826,10812,10652,10867,10855,10861,10881,10793,10828
14.0,11224,11180,11166,11001,11224,11211,11216,11238,11147,11183
