,1,2,3,4,5,6,7,8,A1,A2,A5,A6,A7
4.0,9105,11746,9179,9105,9152,9179,9179,9105,9105,9241,9105,9115,9298
7.0,9338,9413,9402,9338,9383,9431,9413,9338,9338,9478,9338,9349,9523
10.0,9571,9648,9636,9571,9614,9667,9648,9571,9571,9714,9571,9582,9749
