,A,B,C,D,E,F,G,H,J,K,L
8.0,17370,17642,17781,17685,17678,17849,17720,19708,19397,19244,16186
17.0,18063,18196,18420,18392,18414,18384,18312,20434,20044,19519,16643
24.0,20107,18879,18774,18784,18943,18904,18829,20910,20537,20389,20305
