,1,10,2,3,4,5,6,7,8,9,A1,A2,A3,A8
4.0,11728,12817,11728,12250,12836,12836,12642,11793,12642,12153,11728,11658,12610,12674
7.0,11994,13128,11994,12544,12047,12047,12948,12043,12948,13128,11994,11926,12917,12981
10.0,10585,12301,10585,12843,12296,12296,13253,12292,13253,12301,10447,12187,13220,13286
