,A,B,C,D,E,F,G,H,J
8.0,16669,18078,16675,18075,20456,16769,17007,16960,16675
16.0,18217,18484,22148,18217,21302,20448,20182,19118,17601
22.0,19462,19322,23089,22806,22018,21577,22542,19338,17572
