,1,2,3,4,5,6,7,8,B1,B2,B6,B7
4.0,3807360,4422610,4422610,3012345,3745350,4422610,4422610,2986515,3730240,4332700,4195800,3594180
7.0,3902720,4533240,4533240,3088575,3839220,4533240,4533240,3051090,3821760,4438520,4288670,3684090
10.0,3656835,4642390,4642390,3140865,3931830,4642390,4642390,3135510,3909440,4543600,4381540,4099970
