,1,2,3,4,5,6,7,8,B1,B3,B5,B6,B8,D1,D2,D3,D4,D5,D8,F1,F2,F5,F6,F7,H2,H3,H4,H5,J1,J2,J4,J5,J6,J7,whole floor
4.0,13170,13134,13265,13223,13413,13265,13265,13133,13170,13268,13047,13395,13170,13185,13538,13314,13572,13484,12099,13525,13047,13508,13948,12561,13126,13265,13201,13526,12655,12902,13350,13382,13438,13403,13265
8.0,13786,13723,13732,14216,14216,13732,13732,13367,13635,13946,13916,14410,13635,13854,14232,14008,14467,14454,12488,14238,13993,14408,14896,12975,13591,13732,14089,14216,13488,13776,14245,14266,14253,14354,13732
12.0,14335,14050,14192,14447,14447,14192,14195,14114,14089,14437,14257,14542,14089,14108,14460,14253,14825,14805,12872,14752,14452,14784,15410,13381,14039,14192,13329,14447,14060,14228,14612,14640,14510,14788,14192
