,1,2,3,4,5,6,7
4.0,4137600,4355190,4552362,4047680,4218500,3994026,4375960
7.0,4367400,4466480,4503720,3980760,4296500,4096886,4487250
10.0,4473900,4368360,4613232,4253480,4389775,4197244,4596680
