,A,B,D,E,F,G,H
4.0,5315703,4716000,4566760,4409620,5101588,4591470,4060941
6.0,5405988,4795600,4644360,4450748,5187973,4669470,4129994
9.0,5541184,4156449,4760372,4598576,5317772,4786080,4233053
