,10,2,3,4,5,6,7,8,9,D10,D3,D5
4.0,11569,11207,11062,11467,11467,11484,11430,11430,11467,11620,11330,11160
7.0,11821,11441,11321,11714,11696,11732,11681,11681,11714,11874,11329,11439
10.0,12094,11701,11592,11981,11966,11999,11951,12219,12094,12147,11844,11709
