,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,3624600,12082,300
14.0/F中層A,14.0,中層,A,3868200,12894,300
21.0/F高層A,21.0,高層,A,4078800,13596,300
6.0/F低層B,6.0,低層,B,3741300,12471,300
14.0/F中層B,14.0,中層,B,3980700,13269,300
21.0/F高層B,21.0,高層,B,4190400,13968,300
