,A,B,C,D,E,F,G,H,J,K,L,M
8.0,18153,21008,18589,18012,20230,17614,17517,17527,18701,17451,17019,19067
18.0,20090,23240,20052,19824,22656,20534,19616,20308,20043,19099,18270,20307
27.0,20037,22525,21640,22462,23040,20749,21487,21286,18898,18953,19401,22932
