,A,C,D,E,F,G,H
5.0,9472400,9555396,8630944,8630944,9660266,9593748,9520160
10.0,9896668,10310834,9016981,9016981,10072004,10002118,10797740
14.0,10426008,10596360,9327410,9327410,10403752,11708852,10089300
