,A,B,C,D,E,F,G,H,I
3.0,10810,10665,10651,10662,10540,10644,10617,10478,10562
7.0,11163,11000,11000,11010,10884,10992,10964,10852,10911
11.0,11496,11328,11328,11339,11208,11320,11294,11140,11243
