,1,10,2,3,4,5,6,7,8,9,A1,A2,A3,A8
4.0,5277600,4742290,5277600,3503500,4864844,4864844,3615612,4599270,3615612,4496610,5277600,5246100,3606460,3624764
7.0,5397300,4857360,5397300,3587584,4565813,4565813,3703128,4696770,3703128,4857360,5397300,5366700,3694262,3712566
10.0,4763250,4551370,4763250,3673098,4660184,4660184,3790358,4793880,3790358,4551370,4701150,5484150,3780920,3799796
