,1,2,3,4,5,6,7,8,A1,A3,A6,C1,C2,C4,C6,C7,C8,E2,E4,E5,E7,E8,G2,G3,G4,G5,G6,G7,G8,I1,I2,I3,I4,I5,I6,I8
4.0,13665,13629,13696,13732,13803,14090,14090,13656,13211,14090,12192,11807,13031,15117,13981,14447,13975,14175,14065,14547,13168,13582,12642,13388,14088,14214,14202,13910,13598,12446,14068,14090,13507,14290,14092,13951
8.0,14541,14594,14579,14070,15271,14594,14594,14531,13030,14594,14995,12186,13203,15627,14882,14952,12820,14842,15153,15032,13355,14447,13012,13139,14942,14685,14859,14351,14458,12195,14727,14594,14397,14844,14567,14491
12.0,13313,13332,13341,12656,15652,13269,13332,13308,13013,13332,12969,12561,13024,16160,14131,15448,12793,14025,12839,15536,13521,13271,13202,13145,15733,13648,14076,14795,13275,12528,13466,13332,14846,15442,15033,13216
