,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,22D,2A,3,4,5,6,7,8,9,9A
3.0,9596,9323,9723,9663,9723,9663,9710,9357,,9505,9641,9692,9743,9487,10007,,9663,9699,9656,9723,9663,9723,9299,9837,9728
8.0,10257,9626,10118,10062,10118,10062,10103,9752,,9909,10036,10092,10139,9724,10410,,10062,10062,10057,10118,10062,10118,9718,10147,10125
12.0,10218,9922,9727,10129,10436,10129,10296,10056,,10228,10355,10172,10457,10190,10730,,10129,10215,10161,10419,10129,10436,10042,10465,10443
