,1,10,3,4,5,6,7,8,9,B1,B2,B3,B5,B9
4.0,471,340,360,360,285,300,300,285,318,471,471,360,285,318
7.0,471,340,360,360,285,300,300,285,318,471,471,360,285,318
10.0,471,340,360,360,285,300,300,285,318,471,471,360,285,318
