,A,B,C,D,E,F,G,H,I
3.0,3621350,3594105,3504179,3571770,3530900,3459300,3450525,3248180,3538270
7.0,3739605,3619000,3619000,3688350,3646140,3572400,3563300,3526900,3655185
11.0,3851160,3726912,3726912,3798565,3754680,3679000,3670550,3442260,3766405
