,1,2,3,4,5,6,A1,A2,A5,C3,C4,C6,D1,D3,D5,E1,E4,E5,F1,F4,F5,G1,G2,G3,G4,G6,H2,H6,I2,I3,I5,I6,J2,J5,J6
4.0,460,460,410,410,420,420,460,460,420,410,410,420,460,410,420,460,410,420,460,410,420,460,460,410,410,420,460,420,460,410,420,420,460,420,420
8.0,460,460,410,410,420,420,460,460,420,410,410,420,460,410,420,460,410,420,460,410,420,460,460,410,410,420,460,420,460,410,420,420,460,420,420
12.0,460,460,410,410,420,420,460,460,420,410,410,420,460,410,420,460,410,420,460,410,420,460,460,410,410,420,460,420,460,410,420,420,460,420,380
