,B,C,D,E,F,G,H,I,J,K,L,M,N,O,O1,P,Q
3.0,3689020,3669590,4015365,3670640,3727080,3669590,3612180,3612180,3370290,3612180,3669590,3071560,3530385,3669590,2879970,3383340,3440430
6.0,3780475,3759705,4114280,3761080,3818540,3759705,3700950,3700950,3451140,3700950,3759705,3818540,3613185,3759705,2950860,3466730,3525165
9.0,3872600,3849820,4212830,3834520,3910340,3849820,3789720,3789720,3528360,3789720,3849820,3910340,3696330,3849820,3021750,3549810,3609585
