,A,B,C,D,E,F,G,H,I,J
3.0,11166,10406,10549,10692,10518,10513,,,10637,11060
6.0,11442,10682,10832,10980,10799,10794,,,10910,11211
10.0,10968,11027,11188,11343,11153,11147,,,11443,11551
