,1,10,11,12,12A,13,14,15,16,17,17B,18,18A,19,2,20,21,22,23,25,26,27,28,29,3,30,31,32,33,34,35,36,37,37A,38,39,4,40,41,42,43,43A,44,45,46,47,48,49,5,50,51,52,53,54,54A,54B,55,55A,6,7,8,9
3.0,7710,8429,8807,8861,8260,9259,8281,8716,8515,8711,8497,8210,8460,7857,8537,9403,8185,9255,8415,8229,9299,8229,8077,8570,9259,7865,7665,7991,9539,8564,8159,8506,8506,8506,7854,8285,8515,8506,8415,7934,8367,8353,8506,9609,8584,8506,8263,8506,9259,8507,8506,8506,8506,8143,9301,9376,8628,8378,8515,8509,8506,8819
6.0,7925,8887,9016,8888,8458,9083,8480,8897,8724,8972,8706,8640,8506,8063,9306,9758,8560,9248,8626,8987,9180,8987,8079,8656,9083,8068,7843,8068,9126,9073,8492,8716,8716,8716,8059,8619,8724,8716,8627,8138,8756,8559,8716,9639,8796,8716,8464,8716,8101,8716,8716,8716,8716,8032,9375,9399,8676,8939,8724,8560,8716,8991
10.0,8869,8973,9306,9158,8724,9251,8745,9156,8862,8305,9260,8799,9216,8394,8894,9892,10714,9527,9469,8861,9234,9373,9043,9742,9370,9257,7979,8400,9537,9435,8995,8863,9267,8860,8295,9145,8862,9267,9165,8463,8595,8710,9267,9977,9073,9267,9126,9267,8361,9270,9267,9270,9260,8281,9694,9719,8961,9237,8869,9251,9012,9731
