,A,B,C,D,E,F,G,H,J,K,L,M,N,O
3.0,4266485,3779055,3779055,3853284,3779055,3554145,3779055,3796065,4807350,3794175,3685815,4762677,6803290,6803290
6.0,4394600,3871035,3871035,4508480,3871035,3730860,3871035,3888675,4923180,3885840,3805515,4877764,6966720,7403520
9.0,4501180,3963015,3963015,4615425,3963015,3822840,3963015,4011210,5039415,3977820,3901275,4992851,7130740,7576960
