,10,2,4,5,6,7,8,9
4.0,9598,9454,9596,9596,9654,9662,9608,9602
6.0,9761,9612,9758,9758,9817,9826,9771,9764
9.0,10005,9849,10002,10002,10063,10071,10015,10008
