,1,2,3,4,5,6,7,8,A1,A2,A5,A6,A7
4.0,315,380,380,315,315,380,380,315,315,380,315,380,380
7.0,315,380,370,315,315,395,380,315,315,380,315,380,380
10.0,315,380,370,315,315,395,380,315,315,380,315,380,380
