,A,B,C,D,E,F,G,H,J
8.0,4083905,4664124,4352175,9218250,5339016,4477323,4676925,4748800,4652325
16.0,9673227,6247592,7264544,9764312,5559822,5459616,7366430,5295686,6477168
22.0,10334322,6530836,7573192,12224016,5746698,5761059,8227830,5356626,6466496
