,1,2,3,4,5,6,7,8,B1,B3,B5,B6,B8,D1,D2,D3,D4,D5,D8,F1,F2,F5,F6,F7,H2,H3,H4,H5,J1,J2,J4,J5,J6,J7,whole floor
4.0,422,370,370,335,335,370,370,408,422,370,335,370,422,422,350,370,335,335,410,408,370,335,370,350,370,370,335,335,422,370,335,335,370,370,370
8.0,400,370,370,335,335,370,370,422,422,370,335,370,422,422,350,370,335,335,410,408,370,335,370,350,370,370,335,335,422,370,335,335,370,370,370
12.0,422,370,370,335,335,370,370,408,422,370,335,370,422,422,350,370,335,335,410,408,370,335,370,350,370,370,335,335,422,370,335,335,370,370,370
