,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,41297550.0,22323.0,1,41297550,22323,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",41297550.0,22323.0,1850.0,-0.06371109806224307,-0.06371109806224307
2019-11-15,44107700.0,23842.0,1,44107700,23842,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",44107700.0,23842.0,1850.0,0.026345243219974224,0.026345243219974224
2019-10-15,42975500.0,23230.0,1,42975500,23230,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",42975500.0,23230.0,1850.0,-0.011657590197413192,-0.011657590197413192
2019-9-15,43482400.0,23504.0,1,43482400,23504,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",43482400.0,23504.0,1850.0,-0.03947691050265634,-0.03947691050265634
2019-8-15,45269500.0,24470.0,1,45269500,24470,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",45269500.0,24470.0,1850.0,0.008947346719993421,0.008947346719993421
2019-7-15,44868050.0,24253.0,1,44868050,24253,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",44868050.0,24253.0,1850.0,0.004930803016491181,0.004930803016491181
2019-6-15,44647900.0,24134.0,1,44647900,24134,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",44647900.0,24134.0,1850.0,-0.008381954145780246,-0.008381954145780246
2019-5-15,45025300.0,24338.0,1,45025300,24338,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",45025300.0,24338.0,1850.0,0.0395967707487932,0.0395967707487932
2019-4-15,43310350.0,23411.0,1,43310350,23411,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",43310350.0,23411.0,1850.0,,
2019-3-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2019-2-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2019-1-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-12-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-11-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-10-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-9-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-8-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-7-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-6-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-5-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-4-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-3-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-2-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2018-1-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-12-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-11-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-10-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-9-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-8-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-7-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-6-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-5-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-4-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-3-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-2-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2017-1-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-12-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-11-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-10-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-9-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-8-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-7-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-6-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-5-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-4-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-3-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-2-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
2016-1-15,,,1,,,1850,"HORIZON MANS,MACDONNELL RD|崇華大廈,麥當勞道",,,1850.0,,
