,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,7781784.0,19073.0,1,7781784,19073,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",7781784.0,19073.0,408.0,-0.09956566896421493,-0.09956566896421493
2019-11-15,8642256.0,21182.0,1,8642256,21182,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8642256.0,21182.0,408.0,-0.03564762121557019,-0.03564762121557019
2019-10-15,8961720.0,21965.0,1,8961720,21965,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8961720.0,21965.0,408.0,0.0494505494505495,0.0494505494505495
2019-9-15,8539440.0,20930.0,1,8539440,20930,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8539440.0,20930.0,408.0,-0.20463613908417255,-0.20463613908417255
2019-8-15,10736520.0,26315.0,1,10736520,26315,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",10736520.0,26315.0,408.0,0.18771438887885905,0.18771438887885905
2019-7-15,9039648.0,22156.0,1,9039648,22156,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",9039648.0,22156.0,408.0,-0.020859112603853647,-0.020859112603853647
2019-6-15,9232224.0,22628.0,1,9232224,22628,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",9232224.0,22628.0,408.0,0.006046594344655931,0.006046594344655931
2019-5-15,9176736.0,22492.0,1,9176736,22492,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",9176736.0,22492.0,408.0,0.0589453860640301,0.0589453860640301
2019-4-15,8665920.0,21240.0,1,8665920,21240,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8665920.0,21240.0,408.0,0.012103306966549043,0.012103306966549043
2019-3-15,8562288.0,20986.0,1,8562288,20986,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8562288.0,20986.0,408.0,0.08538919058701833,0.08538919058701833
2019-2-15,7888680.0,19335.0,1,7888680,19335,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",7888680.0,19335.0,408.0,-0.0774405954766676,-0.0774405954766676
2019-1-15,8550864.0,20958.0,1,8550864,20958,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8550864.0,20958.0,408.0,0.037627487870086185,0.037627487870086185
2018-12-15,8240784.0,20198.0,1,8240784,20198,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8240784.0,20198.0,408.0,0.025123077703902874,0.025123077703902874
2018-11-15,8038824.0,19703.0,1,8038824,19703,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8038824.0,19703.0,408.0,-0.09240407204385281,-0.09240407204385281
2018-10-15,8857272.0,21709.0,1,8857272,21709,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8857272.0,21709.0,408.0,0.14191783704171268,0.14191783704171268
2018-9-15,7756488.0,19011.0,1,7756488,19011,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",7756488.0,19011.0,408.0,-0.1710560739513386,-0.1710560739513386
2018-8-15,9357072.0,22934.0,1,9357072,22934,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",9357072.0,22934.0,408.0,0.09178330000952117,0.09178330000952117
2018-7-15,8570448.0,21006.0,1,8570448,21006,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8570448.0,21006.0,408.0,0.04139606365574333,0.04139606365574333
2018-6-15,8229768.0,20171.0,1,8229768,20171,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8229768.0,20171.0,408.0,0.009004051823320536,0.009004051823320536
2018-5-15,8156328.0,19991.0,1,8156328,19991,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",8156328.0,19991.0,408.0,-0.13184522517045205,-0.13184522517045205
2018-4-15,9395016.0,23027.0,1,9395016,23027,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",9395016.0,23027.0,408.0,0.2202967673555909,0.2202967673555909
2018-3-15,7698960.0,18870.0,1,7698960,18870,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",7698960.0,18870.0,408.0,,
2018-2-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2018-1-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-12-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-11-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-10-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-9-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-8-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
