,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_BE,npsf_BE,nfa_BE,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,11043962.833333334,21503.416666666668,12,132527554,258041,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",9367284.0,19156.0,489.0,23601408.0,24896.0,948.0,8836898.0,18842.0,469.0,22884238.0,24713.0,926.0,19960272.0,25722.0,776.0,11281761.0,24579.0,459.0,6327727.0,19117.0,331.0,5897777.0,19211.0,307.0,5994568.0,20116.0,298.0,5775674.0,20554.0,281.0,5823163.0,20723.0,281.0,6776784.0,20412.0,332.0,-0.17317571295554812,-0.17427144233138447
2019-11-15,13357085.666666666,26041.75,12,160285028,312501,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11363382.0,23238.0,489.0,28388808.0,29946.0,948.0,10715712.0,22848.0,469.0,27523498.0,29723.0,926.0,24218184.0,31209.0,776.0,13683249.0,29811.0,459.0,7677876.0,23196.0,331.0,7155249.0,23307.0,307.0,7271200.0,24400.0,298.0,7005611.0,24931.0,281.0,7062935.0,25135.0,281.0,8219324.0,24757.0,332.0,0.04384788135810114,0.04198259477843358
2019-10-15,12796007.833333334,24992.5,12,153552094,299910,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10928661.0,22349.0,489.0,26995248.0,28476.0,948.0,10307213.0,21977.0,469.0,26173390.0,28265.0,926.0,23292416.0,30016.0,776.0,13158612.0,28668.0,459.0,7386596.0,22316.0,331.0,6882633.0,22419.0,307.0,6992868.0,23466.0,298.0,6737537.0,23977.0,281.0,6792332.0,24172.0,281.0,7904588.0,23809.0,332.0,-0.05918540119754656,-0.05742032811616071
2019-9-15,13600987.75,26515.0,12,163211853,318180,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11625975.0,23775.0,489.0,28979412.0,30569.0,948.0,10966158.0,23382.0,469.0,28096692.0,30342.0,926.0,24770696.0,31921.0,776.0,13351851.0,29089.0,459.0,7859926.0,23746.0,331.0,7322871.0,23853.0,307.0,7438676.0,24962.0,298.0,7166905.0,25505.0,281.0,7224791.0,25711.0,281.0,8407900.0,25325.0,332.0,0.10986872491743704,0.106335927231761
2019-8-15,12254591.416666666,23966.5,12,147055097,287598,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10802010.0,22090.0,489.0,26537364.0,27993.0,948.0,10149160.0,21640.0,469.0,25728910.0,27785.0,926.0,20627632.0,26582.0,776.0,12028095.0,26205.0,459.0,6998333.0,21143.0,331.0,6705801.0,21843.0,307.0,6836120.0,22940.0,298.0,6561912.0,23352.0,281.0,6614740.0,23540.0,281.0,7465020.0,22485.0,332.0,-0.03600208462813825,-0.035051753929775664
2019-7-15,12712259.25,24837.083333333332,12,152547111,298045,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11220105.0,22945.0,489.0,27571632.0,29084.0,948.0,10547341.0,22489.0,469.0,26731768.0,28868.0,926.0,21431568.0,27618.0,776.0,12484341.0,27199.0,459.0,7270746.0,21966.0,331.0,6847021.0,22303.0,307.0,7041442.0,23629.0,298.0,6816498.0,24258.0,281.0,6871293.0,24453.0,281.0,7713356.0,23233.0,332.0,-0.0015512803090885763,-0.0015677709178494315
2019-6-15,12732010.166666666,24876.083333333332,12,152784122,298513,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11239176.0,22984.0,489.0,27618084.0,29133.0,948.0,10570791.0,22539.0,469.0,26777142.0,28917.0,926.0,21467264.0,27664.0,776.0,12497652.0,27228.0,459.0,7282331.0,22001.0,331.0,6860529.0,22347.0,307.0,7054256.0,23672.0,298.0,6871012.0,24452.0,281.0,6883657.0,24497.0,281.0,7662228.0,23079.0,332.0,-0.03590428306045723,-0.03434477404328273
2019-5-15,13206168.166666666,25760.833333333332,12,158474018,309130,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11635266.0,23794.0,489.0,28744308.0,30321.0,948.0,10948805.0,23345.0,469.0,27869822.0,30097.0,926.0,22222312.0,28637.0,776.0,13231593.0,28827.0,459.0,7225399.0,21829.0,331.0,7103980.0,23140.0,307.0,7303980.0,24510.0,298.0,7114639.0,25319.0,281.0,7148078.0,25438.0,281.0,7925836.0,23873.0,332.0,0.024491375264539927,0.02491247148692377
2019-4-15,12890463.0,25134.666666666668,12,154685556,301616,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11397612.0,23308.0,489.0,28155600.0,29700.0,948.0,10730251.0,22879.0,469.0,27299406.0,29481.0,926.0,21769904.0,28054.0,776.0,12407688.0,27032.0,459.0,7078435.0,21385.0,331.0,6959076.0,22668.0,307.0,7155278.0,24011.0,298.0,6971048.0,24808.0,281.0,7003082.0,24922.0,281.0,7758176.0,23368.0,332.0,0.014380218307924242,0.012779960377421906
2019-3-15,12707723.166666666,24817.5,12,152492678,297810,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11184408.0,22872.0,489.0,27629460.0,29145.0,948.0,10991484.0,23436.0,469.0,26790106.0,28931.0,926.0,21364056.0,27531.0,776.0,12163041.0,26499.0,459.0,6993699.0,21129.0,331.0,6828294.0,22242.0,307.0,7245274.0,24313.0,298.0,6931989.0,24669.0,281.0,6872979.0,24459.0,281.0,7497888.0,22584.0,332.0,0.04051008048510152,0.03831309422950202
2019-2-15,12212974.583333334,23901.75,12,146555695,286821,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10694430.0,21870.0,489.0,26419812.0,27869.0,948.0,10511697.0,22413.0,469.0,25616864.0,27664.0,926.0,20567104.0,26504.0,776.0,11619126.0,25314.0,459.0,6722279.0,20309.0,331.0,6528662.0,21266.0,307.0,6991974.0,23463.0,298.0,6682461.0,23781.0,281.0,6572590.0,23390.0,281.0,7628696.0,22978.0,332.0,0.015557711846617472,0.018077720354384486
