,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_change,npsf_change
2019-12-15,27210880.0,21258.5,2,54421760,42517,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",27317760.0,21342.0,1280.0,27104000.0,21175.0,1280.0,-0.060148547681152964,-0.060148547681152964
2019-11-15,28952320.0,22619.0,2,57904640,45238,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",29066240.0,22708.0,1280.0,28838400.0,22530.0,1280.0,-0.015944834787148365,-0.015944834787148365
2019-10-15,29421440.0,22985.5,2,58842880,45971,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",29537280.0,23076.0,1280.0,29305600.0,22895.0,1280.0,0.08863787060717998,0.08863787060717998
2019-9-15,27025920.0,21114.0,2,54051840,42228,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",27132160.0,21197.0,1280.0,26919680.0,21031.0,1280.0,-0.1105400623472913,-0.1105400623472913
2019-8-15,30384640.0,23738.0,2,60769280,47476,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",30503680.0,23831.0,1280.0,30265600.0,23645.0,1280.0,0.02076972694044299,0.02076972694044299
2019-7-15,29766400.0,23255.0,2,59532800,46510,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",29882880.0,23346.0,1280.0,29649920.0,23164.0,1280.0,0.030053374083671036,0.030053374083671036
2019-6-15,28897920.0,22576.5,2,57795840,45153,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",29011200.0,22665.0,1280.0,28784640.0,22488.0,1280.0,-0.014556962025316422,-0.014556962025316422
2019-5-15,29324800.0,22910.0,2,58649600,45820,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",29440000.0,23000.0,1280.0,29209600.0,22820.0,1280.0,0.03172637409650769,0.03172637409650769
2019-4-15,28423040.0,22205.5,2,56846080,44411,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",28535040.0,22293.0,1280.0,28311040.0,22118.0,1280.0,0.0015786743645835877,0.0015786743645835877
2019-3-15,28378240.0,22170.5,2,56756480,44341,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",28490240.0,22258.0,1280.0,28266240.0,22083.0,1280.0,0.018537235264391105,0.018537235264391105
2019-2-15,27861760.0,21767.0,2,55723520,43534,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",28186880.0,22021.0,1280.0,27536640.0,21513.0,1280.0,0.06763782617225811,0.06763782617225811
