,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,18299271.333333332,16745.333333333332,3,54897814.0,50236.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19019250.0,16050.0,1185.0,16743520.0,18160.0,922.0,19135044.0,16026.0,1194.0,-0.01969411166982238,-0.02123680006234674
2019-11-15,18666899.333333332,17108.666666666668,3,56000698.0,51326.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19057170.0,16082.0,1185.0,17415658.0,18889.0,922.0,19527870.0,16355.0,1194.0,0.0032238734782783496,0.0032251128789506645
2019-10-15,18606913.0,17053.666666666668,3,55820739.0,51161.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18996735.0,16031.0,1185.0,17359416.0,18828.0,922.0,19464588.0,16302.0,1194.0,0.0077560624245887055,0.007760947071916879
2019-9-15,18463707.333333332,16922.333333333332,3,55391122.0,50767.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18850980.0,15908.0,1185.0,17224804.0,18682.0,922.0,19315338.0,16177.0,1194.0,0.006665832005723793,0.006662568658166501
2019-8-15,18341446.333333332,16810.333333333332,3,55024339.0,50431.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18726555.0,15803.0,1185.0,17111398.0,18559.0,922.0,19186386.0,16069.0,1194.0,-0.03695179408453608,-0.03695145705228586
2019-7-15,19045200.666666668,17455.333333333332,3,57135602.0,52366.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19445850.0,16410.0,1185.0,17767862.0,19271.0,922.0,19921890.000000004,16685.0,1194.0,0.10181462048146028,0.10181580996065387
2019-6-15,17285304.0,15842.333333333334,3,51855912.0,47527.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",17649390.0,14894.0,1185.0,16125780.000000002,17490.0,922.0,18080742.0,15143.0,1194.0,-0.05228367016710922,-0.05228419310454835
2019-5-15,18238900.666666668,16716.333333333332,3,54716702.0,50149.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18623460.0,15716.0,1185.0,17015510.0,18455.0,922.0,19077732.0,15978.0,1194.0,-0.034482419092002226,-0.03448209472468233
2019-4-15,18890283.333333332,17313.333333333332,3,56670850.0,51940.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19289430.0,16278.0,1185.0,17623108.0,19114.0,922.0,19758312.0,16548.0,1194.0,0.00826854989263004,0.008269596614512542
2019-3-15,18735369.0,17171.333333333332,3,56206107.0,51514.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",19131825.0,16145.0,1185.0,17478354.0,18957.0,922.0,19595928.0,16412.0,1194.0,0.05706832177304588,0.05706605380337737
2019-2-15,17723896.0,16244.333333333334,3,53171688.0,48733.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18099690.0,15274.0,1185.0,16535147.999999998,17934.0,922.0,18536850.0,15525.0,1194.0,-0.01649150986474679,-0.016488395560040447
2019-1-15,18021091.0,16516.666666666668,3,54063273.0,49550.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18404235.0,15531.0,1185.0,16811748.0,18234.0,922.0,18847290.0,15785.0,1194.0,0.0567088151856634,0.056705977692947496
2018-12-15,17053980.0,15630.333333333334,3,51161940.0,46891.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",17417130.0,14698.0,1185.0,15910032.0,17256.0,922.0,17834778.0,14937.0,1194.0,-0.05803603615678832,-0.05803535556448358
2018-11-15,18104705.333333332,16593.333333333332,3,54314116.0,49780.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18490740.0,15604.0,1185.0,16890118.0,18319.0,922.0,18933258.0,15857.0,1194.0,-0.01849514849697198,-0.018494420126976663
2018-10-15,18445864.333333332,16906.0,3,55337593.0,50718.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18840315.0,15899.0,1185.0,17208208.0,18664.0,922.0,19289070.0,16155.0,1194.0,0.02437936413337094,0.02437842095695908
2018-9-15,18006868.333333332,16503.666666666668,3,54020605.0,49511.0,3301,"THE ENTRANCE(Block 2),LOK WO SHA LANE|峻源2座,落禾沙里",18392385.0,15521.0,1185.0,16798840.0,18220.0,922.0,18829380.0,15770.0,1194.0,-0.03451721370221705,-0.03451570757200517
