,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,7308616.0,14036.90909090909,11,80394776.0,154406.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9042912.0,11082.0,816.0,10320856.0,14177.0,728.0,5764855.0,14095.0,409.0,8480080.0,15143.0,560.0,6121023.0,14893.0,411.0,8125040.0,14509.0,560.0,6009536.0,14446.0,416.0,6571632.0,14163.0,464.0,4813200.0,15280.0,315.0,7603547.0,13363.0,569.0,7542095.0,13255.0,569.0,-0.00030286325398287683,-0.00029782715665716
2019-11-15,7310830.181818182,14041.09090909091,11,80419132.0,154452.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9046176.0,11086.0,816.0,10323768.0,14181.0,728.0,5766900.0,14100.0,409.0,8481760.0,15146.0,560.0,6122667.0,14897.0,411.0,8127280.0,14513.0,560.0,6011616.0,14451.0,416.0,6573488.0,14167.0,464.0,4814145.0,15283.0,315.0,7606392.0,13368.0,569.0,7544940.0,13260.0,569.0,0.02021632092500325,0.020198951081284555
2019-10-15,7165960.818181818,13763.09090909091,11,78825569.0,151394.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",8868288.0,10868.0,816.0,10114104.0,13893.0,728.0,5653198.0,13822.0,409.0,8313199.999999999,14845.0,560.0,6001833.0,14603.0,411.0,7967120.0,14227.0,560.0,5893056.0,14166.0,416.0,6444032.0,13888.0,464.0,4718700.0,14980.0,315.0,7456176.0,13104.0,569.0,7395862.0,12998.0,569.0,0.01142144149732971,0.011194378765412516
2019-9-15,7085039.454545454,13610.727272727272,11,77935434.0,149718.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",8724672.0,10692.0,816.0,10006360.000000002,13745.0,728.0,5593075.0,13675.0,409.0,8223600.0,14685.0,560.0,5937717.0,14447.0,411.0,7882000.0,14075.0,560.0,5830240.0,14015.0,416.0,6375360.0,13740.0,464.0,4667985.0,14819.0,315.0,7377085.0,12965.0,569.0,7317340.0,12860.0,569.0,-0.05395181917005476,-0.053944583109538424
2019-8-15,7489089.454545454,14386.818181818182,11,82379984.0,158255.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9223248.0,11303.0,816.0,10577112.0,14529.0,728.0,5912095.0,14455.0,409.0,8691760.0,15521.0,560.0,6275970.0,15270.0,411.0,8331680.0,14878.0,560.0,6163040.0,14815.0,416.0,6738672.0,14523.0,464.0,4933845.0,15663.0,315.0,7798145.0,13705.0,569.0,7734417.0,13593.0,569.0,0.04115958153515886,0.04116501532914918
2019-7-15,7193027.454545454,13818.0,11,79123302.0,151998.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",8859312.0,10857.0,816.0,10159240.0,13955.0,728.0,5678556.0,13884.0,409.0,8347360.0,14906.0,560.0,6028137.0,14667.0,411.0,8001840.0,14289.0,560.0,5919680.0,14230.0,416.0,6472336.0,13949.0,464.0,4738230.0,15042.0,315.0,7489747.0,13163.0,569.0,7428864.0,13056.0,569.0,-0.044163089414304024,-0.0441519566844214
2019-6-15,7525371.090909091,14456.272727272728,11,82779082.0,159019.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9269760.0,11360.0,816.0,10628800.0,14600.0,728.0,5940725.0,14525.0,409.0,8732080.0,15593.0,560.0,6306384.0,15344.0,411.0,8371440.0,14949.0,560.0,6193408.0,14888.0,416.0,6771152.0,14593.0,464.0,4956525.0,15735.0,315.0,7836268.0,13772.0,569.0,7772540.0,13660.0,569.0,0.002461264669408436,0.0024648864008876004
2019-5-15,7506894.636363637,14420.727272727272,11,82575841.0,158628.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9247728.0,11333.0,816.0,10602592.0,14564.0,728.0,5926410.0,14490.0,409.0,8709680.0,15553.0,560.0,6290766.0,15306.0,411.0,8351280.0,14913.0,560.0,6178432.0,14852.0,416.0,6754912.0,14558.0,464.0,4943925.0,15695.0,315.0,7816922.0,13738.0,569.0,7753194.0,13626.0,569.0,-0.0033206615430809716,-0.0034051642897531265
2019-4-15,7531905.545454546,14470.0,11,82850961.0,159170.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9282000.0,11375.0,816.0,10614968.0,14581.0,728.0,5948087.0,14543.0,409.0,8740480.0,15608.0,560.0,6313371.0,15361.0,411.0,8381520.0,14967.0,560.0,6201312.0,14907.0,416.0,6779504.0,14611.0,464.0,4961565.0,15751.0,315.0,7845941.0,13789.0,569.0,7782213.0,13677.0,569.0,,
2019-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2019-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
