,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H17-A,npsf_H17-A,nfa_H17-A,lumpSum_H17-B,npsf_H17-B,nfa_H17-B,lumpSum_H18-A,npsf_H18-A,nfa_H18-A,lumpSum_H18-B,npsf_H18-B,nfa_H18-B,lumpSum_change,npsf_change
2019-12-15,7479436.5,20355.5,4,29917746.0,81422.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9294423.0,19007.0,489.0,6188290.0,22585.0,274.0,8599590.0,18297.0,470.0,5835443.0,21533.0,271.0,-0.020179245380961386,-0.020227909943082656
2019-11-15,7633474.25,20775.75,4,30533897.0,83103.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9483666.0,19394.0,489.0,6317070.0,23055.0,274.0,8776310.0,18673.0,470.0,5956851.0,21981.0,271.0,0.0031863611402915826,0.0031747947851279434
2019-10-15,7609228.5,20710.0,4,30436914.0,82840.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9452370.0,19330.0,489.0,6297342.0,22983.0,274.0,8749050.0,18615.0,470.0,5938152.0,21912.0,271.0,0.007705223885538404,0.007687816270922632
2019-9-15,7551046.0,20552.0,4,30204184.0,82208.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9379509.0,19181.0,489.0,6249940.0,22810.0,274.0,8681840.0,18472.0,470.0,5892895.0,21745.0,271.0,0.006699490300660749,0.006686096348362813
2019-8-15,7500794.5,20415.5,4,30003178.0,81662.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9316428.0,19052.0,489.0,6209662.0,22663.0,274.0,8624030.0,18349.0,470.0,5853058.000000001,21598.0,271.0,-0.03687869526551468,-0.03687978393423674
2019-7-15,7788006.0,21197.25,4,31152024.0,84789.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9672909.0,19781.0,489.0,6448041.999999999,23533.0,274.0,8954440.0,19052.0,470.0,6076633.0,22423.0,271.0,0.10187812562440857,0.10187134502923967
2019-6-15,7067937.75,19237.5,4,28271751.0,76950.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",8778039.0,17951.0,489.0,5852092.0,21358.0,274.0,8126769.999999999,17291.0,470.0,5514850.0,20350.0,271.0,-0.05221086200994551,-0.052223180194605257
2019-5-15,7457289.25,20297.5,4,29829157.0,81190.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9261171.0,18939.0,489.0,6174864.0,22536.0,274.0,8574210.0,18243.0,470.0,5818912.000000001,21472.0,271.0,-0.03447072529935247,-0.03447537727883554
2019-4-15,7723524.75,21022.25,4,30894099.0,84089.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9591246.0,19614.0,489.0,6395434.0,23341.0,274.0,8880650.0,18895.0,470.0,6026769.0,22239.0,271.0,0.008363607427360531,0.008358115886415884
2019-3-15,7659464.0,20848.0,4,30637856.0,83392.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9511539.0,19451.0,489.0,6342552.0,23148.0,274.0,8806860.0,18738.0,470.0,5976905.0,22055.0,271.0,0.05711472295014164,0.05710700115354883
2019-2-15,7245631.75,19721.75,4,28982527.0,78887.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",8997111.0,18399.0,489.0,6000052.000000001,21898.0,274.0,8331219.999999999,17726.0,470.0,5654144.0,20864.0,271.0,-0.016412632748960987,-0.016420627400129617
2019-1-15,7366536.0,20051.0,4,29466144.0,80204.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",9146745.0,18705.0,489.0,6100336.0,22264.0,274.0,8470340.0,18022.0,470.0,5748723.0,21213.0,271.0,0.05719935031316492,0.057096161956980085
2018-12-15,6967972.5,18968.0,4,27871890.0,75872.0,1504,"ALTISSIMO(Block H17-18),YIU SHA RD|泓碧H17-18座,耀沙路",8655300.0,17700.0,489.0,5772906.0,21069.0,274.0,8003630.0,17029.0,470.0,5440054.0,20074.0,271.0,-0.043602817855338816,-0.047229163788881534
