,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_change,npsf_change
2019-12-15,4546564.142857143,16494.85714285714,14,63651898.0,230928.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5149720.0,16612.0,310.0,5068756.0,16457.0,308.0,4890732.0,15879.0,308.0,5137630.0,16573.0,310.0,4080059.9999999995,17895.0,228.0,5379269.0,15683.0,343.0,4846179.0,15483.0,313.0,3811293.0,17091.0,223.0,4949923.0,15517.0,319.0,5038605.0,15795.0,319.0,3815736.0,17188.0,222.0,3635346.0,16302.0,223.0,3989470.0,17890.0,223.0,3859179.0,16563.0,233.0,-0.030858627105480707,-0.030854456941413533
2019-11-15,4691332.214285715,17020.0,14,65678651.0,238280.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5313400.0,17140.0,310.0,5230148.0,16981.0,308.0,5045656.0,16382.0,308.0,5302550.0,17105.0,310.0,4209792.0,18464.0,228.0,5550769.0,16183.0,343.0,5001740.0,15980.0,313.0,3932382.0,17634.0,223.0,5106552.0,16008.0,319.0,5199062.0,16298.0,319.0,3937170.0,17735.0,222.0,3750859.9999999995,16820.0,223.0,4116134.0,18458.0,223.0,3982436.0000000005,17092.0,233.0,-0.011379841792538814,-0.011376554837317698
2019-10-15,4745333.357142857,17215.85714285714,14,66434667.0,241022.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5374780.0,17338.0,310.0,5290208.0,17176.0,308.0,5102636.0,16567.0,308.0,5365170.0,17307.0,310.0,4257900.0,18675.0,228.0,5614910.0,16370.0,343.0,5060271.0,16167.0,313.0,3977428.0,17836.0,223.0,5164291.0,16189.0,319.0,5258715.0,16485.0,319.0,3982235.9999999995,17938.0,222.0,3793898.9999999995,17013.0,223.0,4163186.9999999995,18669.0,223.0,4029036.0000000005,17292.0,233.0,-0.0018416328285001393,-0.001838768190966844
2019-9-15,4754088.642857143,17247.571428571428,14,66557241.0,241466.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5384700.0,17370.0,310.0,5300064.0,17208.0,308.0,5110952.0,16594.0,308.0,5376640.0,17344.0,310.0,4265652.0,18709.0,228.0,5625543.0,16401.0,343.0,5070600.0,16200.0,313.0,3984564.0,17868.0,223.0,5172904.0,16216.0,319.0,5267966.0,16514.0,319.0,3989340.0,17970.0,222.0,3800812.0,17044.0,223.0,4170546.0000000005,18702.0,223.0,4036958.0,17326.0,233.0,-0.04903752135414319,-0.04903570851892558
2019-8-15,4999238.928571428,18136.928571428572,14,69989345.0,253917.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5662150.0,18265.0,310.0,5573260.0,18095.0,308.0,5373368.0,17446.0,308.0,5655330.0,18243.0,310.0,4485444.0,19673.0,228.0,5915721.0,17247.0,343.0,5333520.0,17040.0,313.0,4189946.9999999995,18789.0,223.0,5438631.0,17049.0,319.0,5539435.0,17365.0,319.0,4194912.0,18896.0,222.0,3996606.0,17922.0,223.0,4385295.0,19665.0,223.0,4245726.0,18222.0,233.0,0.0248301733326326,0.02483411633651378
2019-7-15,4878114.5,17697.428571428572,14,68293603.0,247764.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5525130.0,17823.0,310.0,5438356.0,17657.0,308.0,5242160.0,17020.0,308.0,5519860.0,17806.0,310.0,4376460.0,19195.0,228.0,5772690.0,16830.0,343.0,5205190.0,16630.0,313.0,4088259.0,18333.0,223.0,5305608.0,16632.0,319.0,5405136.0,16944.0,319.0,4093235.9999999995,18438.0,222.0,3899601.0,17487.0,223.0,4278478.0,19186.0,223.0,4143439.0,17783.0,233.0,0.002855792892261233,0.0027845683109650743
2019-6-15,4864223.285714285,17648.285714285714,14,68099126.0,247076.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5483280.0,17688.0,310.0,5410328.0,17566.0,308.0,5229532.0,16979.0,308.0,5509630.0,17773.0,310.0,4366884.0,19153.0,228.0,5760342.0,16794.0,343.0,5195174.0,16598.0,313.0,4079116.0,18292.0,223.0,5292848.0,16592.0,319.0,5393014.0,16906.0,319.0,4084134.0000000005,18397.0,222.0,3890904.0000000005,17448.0,223.0,4268889.0,19143.0,223.0,4135050.9999999995,17747.0,233.0,-0.009127262721856155,-0.009123685086484534
2019-5-15,4909029.285714285,17810.785714285714,14,68726410.0,249351.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5533500.0,17850.0,310.0,5460224.0,17728.0,308.0,5276656.0,17132.0,308.0,5562020.0,17942.0,310.0,4406784.0,19328.0,228.0,5813507.0,16949.0,343.0,5244315.0,16755.0,313.0,4116580.0,18460.0,223.0,5340698.0,16742.0,319.0,5442459.0,17061.0,319.0,4121429.9999999995,18565.0,222.0,3926584.0,17608.0,223.0,4307691.0,19317.0,223.0,4173961.9999999995,17914.0,233.0,0.041594402564544275,0.041596872088991654
2019-4-15,4712995.071428572,17099.5,14,65981931.0,239393.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5312470.0,17137.0,310.0,5242160.0,17020.0,308.0,5064752.0,16444.0,308.0,5341610.0,17231.0,310.0,4230540.0,18555.0,228.0,5581639.0,16273.0,343.0,5035857.0,16089.0,313.0,3952006.0,17722.0,223.0,5126330.0,16070.0,319.0,5224901.0,16379.0,319.0,3956706.0000000005,17823.0,222.0,3769815.0,16905.0,223.0,4135312.0,18544.0,223.0,4007833.0000000005,17201.0,233.0,0.008645727286656246,0.008650037920283182
2019-3-15,4672597.071428572,16952.85714285714,14,65416359.0,237340.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5266900.0,16990.0,310.0,5196884.0,16873.0,308.0,5020400.0,16300.0,308.0,5297280.0,17088.0,310.0,4194060.0,18395.0,228.0,5534305.0,16135.0,343.0,4993915.0,15955.0,313.0,3917887.0,17569.0,223.0,5081351.0,15929.0,319.0,5179922.0,16238.0,319.0,3922517.9999999995,17669.0,222.0,3737257.0000000005,16759.0,223.0,4099631.9999999995,18384.0,223.0,3974048.0000000005,17056.0,233.0,0.04236940023312319,0.04236845225808428
2019-2-15,4482669.071428572,16263.785714285714,14,62757367.0,227693.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5052690.0,16299.0,310.0,4985596.0,16187.0,308.0,4815272.0,15634.0,308.0,5083380.0,16398.0,310.0,4023515.9999999995,17647.0,228.0,5309297.0,15479.0,343.0,4792030.0,15310.0,313.0,3758665.0,16855.0,223.0,4873682.0,15278.0,319.0,4969063.0,15577.0,319.0,3763122.0,16951.0,222.0,3585171.0,16077.0,223.0,3932605.0,17635.0,223.0,3813278.0,16366.0,233.0,-0.0025467594498155277,-0.00254081735465872
