,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_8A,npsf_8A,nfa_8A,lumpSum_9B,npsf_9B,nfa_9B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,60131960.0,24920.0,3,180395880.0,74760,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",60131960.0,24920.0,2413.0,60131960.0,24920.0,2413.0,60131960.0,24920.0,2413.0,0.02958188729135669,0.02958188729135669
2016-2-15,58404252.0,24204.0,3,175212756.0,72612,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",58404252.0,24204.0,2413.0,58404252.0,24204.0,2413.0,58404252.0,24204.0,2413.0,-0.0022671998021353,-0.0022671998021353
2016-3-15,58536967.0,24259.0,3,175610901.0,72777,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",58536967.0,24259.0,2413.0,58536967.0,24259.0,2413.0,58536967.0,24259.0,2413.0,0.006430467972120768,0.006430467972120768
2016-4-15,58162952.0,24104.0,3,174488856.0,72312,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",58162952.0,24104.0,2413.0,58162952.0,24104.0,2413.0,58162952.0,24104.0,2413.0,-0.011969175274635147,-0.011969175274635147
2016-5-15,58867548.0,24396.0,3,176602644.0,73188,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",58867548.0,24396.0,2413.0,58867548.0,24396.0,2413.0,58867548.0,24396.0,2413.0,0.0035789213871406655,0.0035789213871406655
2016-6-15,58657617.0,24309.0,3,175972851.0,72927,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",58657617.0,24309.0,2413.0,58657617.0,24309.0,2413.0,58657617.0,24309.0,2413.0,-0.0145932141554177,-0.0145932141554177
2016-7-15,59526297.0,24669.0,3,178578891.0,74007,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",59526297.0,24669.0,2413.0,59526297.0,24669.0,2413.0,59526297.0,24669.0,2413.0,-0.01583818718582941,-0.01583818718582941
2016-8-15,60484258.0,25066.0,3,181452774.0,75198,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",60484258.0,25066.0,2413.0,60484258.0,25066.0,2413.0,60484258.0,25066.0,2413.0,-0.049702392235659865,-0.049702392235659865
2016-9-15,63647701.0,26377.0,3,190943103.0,79131,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",63647701.0,26377.0,2413.0,63647701.0,26377.0,2413.0,63647701.0,26377.0,2413.0,-0.01783586535597259,-0.01783586535597259
2016-10-15,64803528.0,26856.0,3,194410584.0,80568,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",64803528.0,26856.0,2413.0,64803528.0,26856.0,2413.0,64803528.0,26856.0,2413.0,0.004901777362020576,0.004901777362020576
2016-11-15,64487425.0,26725.0,3,193462275.0,80175,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",64487425.0,26725.0,2413.0,64487425.0,26725.0,2413.0,64487425.0,26725.0,2413.0,-0.023101948313046017,-0.023101948313046017
