,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2963582.714285714,7392.523809523809,21,62235237.0,155243.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3706848.0,7596.0,488.0,2805634.0,7442.0,377.0,2047302.0,7338.0,279.0,2086260.0,7194.0,290.0,2852690.0,7222.0,395.0,2832000.0,7375.0,384.0,2896528.0,7408.0,391.0,2947413.0,7387.0,399.0,2899161.0,7377.0,393.0,2898375.0,7375.0,393.0,2886192.0,7344.0,393.0,3696112.0,7574.0,488.0,2784851.0,7159.0,389.0,3183675.0,7491.0,425.0,3641456.0,7462.0,488.0,3965634.0,7597.0,522.0,2943935.0,7453.0,395.0,2732211.0,7209.0,379.0,2791714.0,7366.0,379.0,2823550.0,7450.0,379.0,2813696.0,7424.0,379.0,-0.016970327196077828,-0.01697029565041197
2019-11-15,3014743.904761905,7520.142857142857,21,63309622.0,157923.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3770776.0,7727.0,488.0,2853890.0,7570.0,377.0,2082735.0,7465.0,279.0,2122510.0,7319.0,290.0,2901670.0,7346.0,395.0,2880768.0,7502.0,384.0,2946576.0,7536.0,391.0,2998086.0,7514.0,399.0,2949072.0,7504.0,393.0,2948286.0,7502.0,393.0,2936103.0000000005,7471.0,393.0,3760040.0,7705.0,488.0,2833087.0,7283.0,389.0,3238500.0,7620.0,425.0,3704408.0,7591.0,488.0,4034538.0,7729.0,522.0,2994495.0,7581.0,395.0,2779207.0,7333.0,379.0,2839847.0,7493.0,379.0,2872441.0,7579.0,379.0,2862587.0,7553.0,379.0,0.026760746256306644,0.02676081062630442
2019-10-15,2936169.8095238097,7324.142857142857,21,61659566.0,153807.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3672687.9999999995,7526.0,488.0,2779621.0,7373.0,377.0,2028330.0,7270.0,279.0,2067120.0,7128.0,290.0,2826225.0,7155.0,395.0,2805888.0,7307.0,384.0,2869940.0,7340.0,391.0,2919882.0,7318.0,399.0,2872437.0,7309.0,393.0,2871651.0,7307.0,393.0,2859468.0,7276.0,393.0,3661952.0,7504.0,488.0,2759177.0,7093.0,389.0,3153925.0,7421.0,425.0,3607784.0,7393.0,488.0,3929094.0,7527.0,522.0,2916680.0,7384.0,395.0,2706818.0,7142.0,379.0,2765563.0,7297.0,379.0,2797399.0,7381.0,379.0,2787924.0,7356.0,379.0,-0.02861039785836539,-0.028609863771575927
2019-9-15,3022649.0,7539.857142857143,21,63475629.0,158337.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3780536.0,7747.0,488.0,2861430.0,7590.0,377.0,2088036.0,7484.0,279.0,2128020.0,7338.0,290.0,2909570.0,7366.0,395.0,2888448.0,7522.0,384.0,2954396.0,7556.0,391.0,3006066.0,7534.0,399.0,2956932.0,7524.0,393.0,2956146.0,7522.0,393.0,2943570.0,7490.0,393.0,3769800.0,7725.0,488.0,2840478.0,7302.0,389.0,3247000.0,7640.0,425.0,3714168.0,7611.0,488.0,4044978.0,7749.0,522.0,3002790.0,7602.0,395.0,2786408.0,7352.0,379.0,2847048.0,7512.0,379.0,2879642.0000000005,7598.0,379.0,2870167.0,7573.0,379.0,-0.03079667815208942,-0.030795504627589176
2019-8-15,3118694.4285714286,7779.428571428572,21,65492583.0,163368.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3901072.0,7994.0,488.0,2952287.0,7831.0,377.0,2154438.0,7722.0,279.0,2195590.0,7571.0,290.0,3002000.0,7600.0,395.0,2980224.0,7761.0,384.0,3048236.0,7796.0,391.0,3101427.0,7773.0,399.0,3050859.0,7763.0,393.0,3050073.0,7761.0,393.0,3037104.0,7728.0,393.0,3889848.0,7971.0,488.0,2930726.0,7534.0,389.0,3349850.0,7882.0,425.0,3832264.0,7853.0,488.0,4173390.0,7995.0,522.0,3097985.0,7843.0,395.0,2875094.0,7586.0,379.0,2937629.0,7751.0,379.0,2971360.0,7840.0,379.0,2961127.0,7813.0,379.0,0.0022287654173247518,0.0022269255544309363
2019-7-15,3111759.0476190476,7762.142857142857,21,65346940.0,163005.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3892288.0,7976.0,488.0,2945878.0,7814.0,377.0,2149695.0,7705.0,279.0,2190660.0,7554.0,290.0,2995285.0,7583.0,395.0,2973696.0,7744.0,384.0,3041589.0,7779.0,391.0,3094644.0,7756.0,399.0,3044178.0,7746.0,393.0,3042999.0,7743.0,393.0,3030423.0,7711.0,393.0,3881064.0,7953.0,488.0,2924113.0,7517.0,389.0,3342625.0,7865.0,425.0,3823480.0,7835.0,488.0,4163994.0,7977.0,522.0,3091270.0,7826.0,395.0,2868651.0,7569.0,379.0,2931186.0,7734.0,379.0,2964538.0,7822.0,379.0,2954684.0,7796.0,379.0,0.0028412659822554254,0.0028423248002067414
2019-6-15,3102942.761904762,7740.142857142857,21,65161798.0,162543.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3881064.0,7953.0,488.0,2937584.0,7792.0,377.0,2143557.0,7683.0,279.0,2184570.0,7533.0,290.0,2986595.0,7561.0,395.0,2965248.0,7722.0,384.0,3032596.0,7756.0,391.0,3085866.0,7734.0,399.0,3035532.0,7724.0,393.0,3034746.0,7722.0,393.0,3021777.0,7689.0,393.0,3870328.0,7931.0,488.0,2915944.0,7496.0,389.0,3332850.0,7842.0,425.0,3812744.0,7813.0,488.0,4152510.0,7955.0,522.0,3082580.0,7804.0,395.0,2860313.0,7547.0,379.0,2922848.0,7712.0,379.0,2956200.0,7800.0,379.0,2946346.0,7774.0,379.0,-0.009169792348641903,-0.00916810426280279
2019-5-15,3131659.4285714286,7811.761904761905,21,65764848.0,164047.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3917176.0,8027.0,488.0,2964728.0,7864.0,377.0,2163366.0,7754.0,279.0,2204870.0,7603.0,290.0,3014245.0,7631.0,395.0,2992896.0,7794.0,384.0,3060748.0,7828.0,391.0,3114195.0,7805.0,399.0,3063435.0,7795.0,393.0,3062649.0,7793.0,393.0,3049680.0,7760.0,393.0,3905952.0,8004.0,488.0,2942785.0,7565.0,389.0,3363875.0,7915.0,425.0,3848368.0,7886.0,488.0,4191138.0,8029.0,522.0,3111020.0,7876.0,395.0,2886843.0,7617.0,379.0,2949757.0,7783.0,379.0,2983488.0,7872.0,379.0,2973634.0,7846.0,379.0,0.01840086521765949,0.018400451940924878
2019-4-15,3075075.380952381,7670.619047619048,21,64576583.0,161083.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3846416.0,7882.0,488.0,2911194.0,7722.0,377.0,2124306.0,7614.0,279.0,2164850.0,7465.0,290.0,2959735.0,7493.0,395.0,2938752.0,7653.0,384.0,3005617.0,7687.0,391.0,3057936.0,7664.0,399.0,3008022.0,7654.0,393.0,3007236.0,7652.0,393.0,2994660.0,7620.0,393.0,3835191.9999999995,7859.0,488.0,2889881.0,7429.0,389.0,3303100.0,7772.0,425.0,3778584.0,7743.0,488.0,4115448.0,7884.0,522.0,3054930.0,7734.0,395.0,2834541.0,7479.0,379.0,2896697.0,7643.0,379.0,2929670.0,7730.0,379.0,2919816.0,7704.0,379.0,0.024806501597119723,0.024850964199596648
2019-3-15,3000640.0,7484.619047619048,21,63013440.0,157177.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3752720.0,7690.0,488.0,2840318.0,7534.0,377.0,2072691.0,7429.0,279.0,2112070.0,7283.0,290.0,2887845.0,7311.0,395.0,2867328.0,7467.0,384.0,2932500.0,7500.0,391.0,2983722.0,7478.0,399.0,2934924.0,7468.0,393.0,2934137.9999999995,7466.0,393.0,2921955.0,7435.0,393.0,3757112.0,7699.0,488.0,2819472.0,7248.0,389.0,3222350.0,7582.0,425.0,3686352.0,7554.0,488.0,4015224.0,7692.0,522.0,2974350.0,7530.0,395.0,2765562.9999999995,7297.0,379.0,2825824.0,7456.0,379.0,2858418.0,7542.0,379.0,2848564.0,7516.0,379.0,0.023553239129559866,0.023554311018494367
2019-2-15,2931591.523809524,7312.380952380952,21,61563422.0,153560.0,8405,"HOI TAK COURT,FAT TSEUNG ST W|凱德苑,發祥街西",3666344.0,7513.0,488.0,2774720.0,7360.0,377.0,2024982.0,7258.0,279.0,2063640.0,7116.0,290.0,2821090.0,7142.0,395.0,2801280.0,7295.0,384.0,2864857.0,7327.0,391.0,2915094.0,7306.0,399.0,2867328.0,7296.0,393.0,2866542.0,7294.0,393.0,2854752.0,7264.0,393.0,3670736.0,7522.0,488.0,2754509.0,7081.0,389.0,3148400.0,7408.0,425.0,3601928.0,7381.0,488.0,3922830.0,7515.0,522.0,2906015.0,7357.0,395.0,2701891.0,7129.0,379.0,2761014.9999999995,7285.0,379.0,2792472.0,7368.0,379.0,2782997.0,7343.0,379.0,0.016557473172779114,0.01655644483281371
