,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,11854029.0,12245.5,2,23708058.0,24491.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12064860.0,12438.0,970.0,11643198.0,12053.0,966.0,0.00835802049273826,0.008358036890645515
2019-11-15,11755774.0,12144.0,2,23511548.0,24288.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",11964950.0,12335.0,970.0,11546598.0,11953.0,966.0,0.011157350152562362,0.011157368859283867
2019-10-15,11626058.0,12010.0,2,23252116.0,24020.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",11833030.0,12199.0,970.0,11419086.0,11821.0,966.0,-0.027648484218937397,-0.027648463749342156
2019-9-15,11956641.0,12351.5,2,23913282.0,24703.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12169620.0,12546.0,970.0,11743662.0,12157.0,966.0,-0.025022695383954963,-0.025022694083751018
2019-8-15,12263507.0,12668.5,2,24527014.0,25337.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12481960.0,12868.0,970.0,12045054.0,12469.0,966.0,-0.010621243341856323,-0.010621265961185511
2019-7-15,12395159.0,12804.5,2,24790318.0,25609.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12615820.0,13006.0,970.0,12174498.0,12603.0,966.0,0.014860827071079719,0.014860901957676198
2019-6-15,12213654.0,12617.0,2,24427308.0,25234.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12431520.0,12816.0,970.0,11995788.0,12418.0,966.0,-0.026916472745559528,-0.026916550979484755
2019-5-15,12551496.0,12966.0,2,25102992.0,25932.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12774900.0,13170.0,970.0,12328092.0,12762.0,966.0,0.010088332359445173,0.010088419740583499
2019-4-15,12426137.0,12836.5,2,24852274.0,25673.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12647830.0,13039.0,970.0,12204444.0,12634.0,966.0,0.012182631378651498,0.012182621037691188
2019-3-15,12276576.0,12682.0,2,24553152.0,25364.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12495540.0,12882.0,970.0,12057612.0,12482.0,966.0,0.03929521549591297,0.03929522638803529
2019-2-15,11812405.0,12202.5,2,23624810.0,24405.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12023150.0,12395.0,970.0,11601660.0,12010.0,966.0,0.006516227813541109,0.006516270054027329
2019-1-15,11735931.0,12123.5,2,23471862.0,24247.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",11945550.0,12315.0,970.0,11526312.0,11932.0,966.0,0.01092348179047864,0.010923493850323096
2018-12-15,11609119.0,11992.5,2,23218238.0,23985.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",11816540.0,12182.0,970.0,11401698.0,11803.0,966.0,-0.00108280172019537,-0.0010828370330265846
2018-11-15,11621703.0,12005.5,2,23243406.0,24011.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",11829150.0,12195.0,970.0,11414256.0,11816.0,966.0,-0.0719669604767762,-0.07196691531712596
2018-10-15,12522941.0,12936.5,2,25045882.0,25873.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12746770.0,13141.0,970.0,12299112.0,12732.0,966.0,0.013554319378030977,0.013554275864770648
2018-9-15,12355471.0,12763.5,2,24710942.0,25527.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12576050.0,12965.0,970.0,12134892.0,12562.0,966.0,-0.05988290947500707,-0.05988288586896473
