,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,4858253.285714285,16448.14285714286,7,34007773.0,115137.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5478116.0,15302.0,358.0,5137020.0,16308.0,315.0,5216472.0,16404.0,318.0,5235831.0,16311.0,321.0,5271141.0,16421.0,321.0,3803042.0,17054.0,223.0,3866151.0000000005,17337.0,223.0,-0.030768793180246723,-0.030768065189574978
2019-11-15,5012481.285714285,16970.285714285714,7,35087369.0,118792.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5651746.0,15787.0,358.0,5301135.0,16829.0,315.0,5381832.0,16924.0,318.0,5401788.0,16828.0,321.0,5438382.0,16942.0,321.0,3923238.9999999995,17593.0,223.0,3989247.0000000005,17889.0,223.0,-0.011369093593315394,-0.01136836498610172
2019-10-15,5070124.0,17165.428571428572,7,35490868.0,120158.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5716902.0,15969.0,358.0,5361615.0,17021.0,315.0,5443842.0,17119.0,318.0,5464062.0,17022.0,321.0,5500977.0,17137.0,321.0,3968508.0,17796.0,223.0,4034962.0,18094.0,223.0,-0.0018494161440003598,-0.0018524517988718348
2019-9-15,5079518.142857143,17197.285714285714,7,35556627.0,120381.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5727642.0,15999.0,358.0,5370750.0,17050.0,315.0,5454018.0,17151.0,318.0,5474334.0,17054.0,321.0,5511249.0,17169.0,321.0,3976536.0,17832.0,223.0,4042098.0000000005,18126.0,223.0,-0.04905979705342656,-0.049063131951466055
2019-8-15,5341574.714285715,18084.571428571428,7,37391023.0,126592.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",6023350.0,16825.0,358.0,5646690.0,17926.0,315.0,5735448.0,18036.0,318.0,5757135.0,17935.0,321.0,5795655.0,18055.0,321.0,4182365.0,18755.0,223.0,4250380.0,19060.0,223.0,0.024839915970359838,0.02483727858553797
2019-7-15,5212106.428571428,17646.285714285714,7,36484745.0,123524.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5877644.0,16418.0,358.0,5508720.0,17488.0,315.0,5596482.0,17599.0,318.0,5617821.0,17501.0,321.0,5655378.0,17618.0,321.0,4081791.9999999995,18304.0,223.0,4146907.9999999995,18596.0,223.0,0.0021687484325980666,0.002166205570474533
2019-6-15,5200827.142857143,17608.14285714286,7,36405790.0,123257.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5865472.0,16384.0,358.0,5495490.0,17446.0,315.0,5584398.0,17561.0,318.0,5605944.0,17464.0,321.0,5643180.0,17580.0,321.0,4073541.0,18267.0,223.0,4137765.0,18555.0,223.0,-0.009131200157904251,-0.009132346675456038
2019-5-15,5248754.571428572,17770.428571428572,7,36741282.0,124393.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5919530.0,16535.0,358.0,5544945.0,17603.0,315.0,5636232.0,17724.0,318.0,5657946.0,17626.0,321.0,5695503.0,17743.0,321.0,4111674.0,18438.0,223.0,4175451.9999999995,18724.0,223.0,0.041584623005306964,0.041581886843008675
2019-4-15,5039201.285714285,17061.0,7,35274409.0,119427.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5683608.0,15876.0,358.0,5322555.0,16897.0,315.0,5411088.0,17016.0,318.0,5432283.0,16923.0,321.0,5468235.0,17035.0,321.0,3948214.9999999995,17705.0,223.0,4008424.9999999995,17975.0,223.0,0.008627274596263446,0.008622873840852474
2019-3-15,4996098.571428572,16915.14285714286,7,34972690.0,118406.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5635278.0,15741.0,358.0,5275935.0,16749.0,315.0,5364978.0,16871.0,318.0,5386059.0,16779.0,321.0,5421369.0,16889.0,321.0,3915211.0,17557.0,223.0,3973860.0,17820.0,223.0,0.04235526391987898,0.04235221620669938
2019-2-15,4793086.142857143,16227.857142857143,7,33551603.0,113595.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5406516.0,15102.0,358.0,5060475.0,16065.0,315.0,5147148.0,16186.0,318.0,5167458.0,16098.0,321.0,5201163.0,16203.0,321.0,3756658.0,16846.0,223.0,3812185.0000000005,17095.0,223.0,-0.0025529856146472296,-0.00255518676571298
2019-1-15,4805354.142857143,16269.42857142857,7,33637479.0,113886.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5420478.0,15141.0,358.0,5072445.0,16103.0,315.0,5160504.0,16228.0,318.0,5180940.0,16140.0,321.0,5214645.0,16245.0,321.0,3766916.0,16892.0,223.0,3821551.0,17137.0,223.0,0.010024372417529959,0.010021639646670577
